name,gender,origins
Abhishek,m,"Hindi, Marathi, Gujarati, Punjabi, Bengali, Kannada, Telugu, Malayalam, Tamil"
Abi,f,English
Abia,m,"Biblical Latin, Biblical Greek"
Abiah,m,Biblical
Abiathar,m,Biblical
Abid,m,"Arabic, Urdu"
Abida,f,"Arabic, Urdu"
Abidan,m,"Biblical, Biblical Latin, Biblical Greek"
Abidemi,m,Yoruba
Abiel,m,Biblical
Abigaëlle,f,French
Abigaia,f,Biblical Greek
Abigaíl,f,Spanish
Abigaïl,f,Biblical French
Abigail,f,"English, Biblical, Biblical German, Biblical Italian, Biblical Portuguese, Biblical Latin"
Abigale,f,English (Modern)
Abigayle,f,English (Modern)
Abigél,f,Hungarian
Abiha,f,"Arabic, Urdu"
Abihail,m,Biblical
Abihu,m,Biblical
Abijah,m,Biblical
Abilene,f,Various (Rare)
Abílio,m,Portuguese
Abilio,m,Spanish
Abimael,m,"Biblical, Biblical Greek"
Abimbola,f,Yoruba
Abimelech,m,"Biblical, Biblical Latin, Biblical Greek"
Abiodun,m,Yoruba
Abiola,f,Yoruba
Abioye,m,Yoruba
Abir,f,Arabic
Abiram,m,Biblical
Abisai,m,Biblical Latin
Abishag,f,Biblical
Abishai,m,Biblical
Abital,f,Biblical
'Abla,f,Arabic
Abla,f,Arabic
Abner,m,"English, Biblical, Biblical Latin"
Abo,m,Arabic
Abolfazl,m,Persian
Abosede,f,Yoruba
Aboubacar,m,Western African
Abraam,m,"Biblical Greek, Georgian"
Abraão,m,Portuguese
Ábrahám,m,Hungarian
Abraham,m,"English, Hebrew, Spanish, French, Dutch, Armenian, Biblical, Biblical German, Biblical Swedish, Biblical Norwegian, Biblical Danish, Biblical Latin"
Abrahán,m,Spanish
Abram 1,m,"English, Biblical"
Abram 2,m,"Russian, Ukrainian, Belarusian, Georgian"
Abramo,m,Italian
Abrar,f,"Arabic, Urdu, Bengali"
Abrasha,m,Russian (Rare)
Abril,f,"Spanish, Catalan"
Absalom,m,"Biblical, Biblical Latin"
Abu,m,Arabic
Abu al-Fadl,m,Arabic
Abubakar,m,"Hausa, Fula"
Abubaker,m,Arabic
Abu Bakr,m,Arabic
Əbülfəz,m,Azerbaijani
Abul-Fazl,m,Arabic
Abundio,m,Spanish
Abundius,m,Late Roman
Aca,m,"Serbian, Macedonian"
Acacia,f,English (Rare)
Acacius,m,Ancient Greek (Latinized)
Acantha,f,Greek Mythology (Latinized)
Ace 1,m,English
Ace 2,m,Macedonian
Achaab,m,Biblical Greek
Achab,m,Biblical Latin
Achaemenes,m,Old Persian (Latinized)
Achaicus,m,"Biblical, Biblical Latin"
Achaikos,m,"Biblical Greek, Ancient Greek"
Achaimenes,m,Old Persian (Hellenized)
Achan,m,Biblical
Achard,m,Old Norman
'Achashwerosh,m,Biblical Hebrew
'Ach'av,m,Biblical Hebrew
Acheim,m,Biblical Greek
Acheloios,m,Greek Mythology
Achelous,m,Greek Mythology (Latinized)
Achieng,f,Luo
Achille,m,"French, Italian"
Achilleas,m,Greek
Achillefs,m,Greek
Achilles,m,"Greek Mythology (Latinized), Ancient Greek (Latinized)"
Achilleus,m,"Greek Mythology, Ancient Greek"
Achim 1,m,German
Achim 2,m,Biblical
Achinoam,f,"Hebrew, Biblical Hebrew"
Achlys,f,Greek Mythology
Achmad,m,Indonesian
